Title,page_no,recitation_no,recitation,image_pages,ayet_sayisi,etiketler,sureler
Sayfa 237,237,1,public://quran_audio/alafasy-Sayfa237.mp3,public://quran_images/sayfa-237.png,8,,
Sayfa 238,238,1,public://quran_audio/alafasy-Sayfa238.mp3,public://quran_images/sayfa-238.png,8,,
Sayfa 239,239,1,public://quran_audio/alafasy-Sayfa239.mp3,public://quran_images/sayfa-239.png,7,,
Sayfa 240,240,1,public://quran_audio/alafasy-Sayfa240.mp3,public://quran_images/sayfa-240.png,6,,
Sayfa 241,241,1,public://quran_audio/alafasy-Sayfa241.mp3,public://quran_images/sayfa-241.png,9,,
Sayfa 242,242,1,public://quran_audio/alafasy-Sayfa242.mp3,public://quran_images/sayfa-242.png,11,,
Sayfa 243,243,1,public://quran_audio/alafasy-Sayfa243.mp3,public://quran_images/sayfa-243.png,6,,
Sayfa 244,244,1,public://quran_audio/alafasy-Sayfa244.mp3,public://quran_images/sayfa-244.png,9,,
Sayfa 245,245,1,public://quran_audio/alafasy-Sayfa245.mp3,public://quran_images/sayfa-245.png,8,,
Sayfa 246,246,1,public://quran_audio/alafasy-Sayfa246.mp3,public://quran_images/sayfa-246.png,9,,
